created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-04-20T11:48:26+00:00,1,nan,nan,246,,,,
2024-04-20T11:48:47+00:00,2,nan,nan,240,,,,
2024-04-20T11:49:09+00:00,3,nan,nan,253,,,,
2024-04-20T11:49:40+00:00,4,nan,nan,244,,,,
2024-04-20T11:50:00+00:00,5,nan,nan,249,,,,
2024-04-20T11:50:21+00:00,6,nan,nan,198,,,,
2024-04-20T11:50:42+00:00,7,nan,nan,310,,,,
2024-04-20T11:51:03+00:00,8,nan,nan,271,,,,
2024-04-20T11:51:26+00:00,9,nan,nan,280,,,,
2024-04-20T11:51:47+00:00,10,nan,nan,294,,,,
2024-04-20T11:53:37+00:00,11,48.00000,30.60000,310,,,,
2024-04-20T11:53:59+00:00,12,49.00000,30.50000,294,,,,
2024-04-20T11:54:20+00:00,13,49.00000,30.40000,301,,,,
2024-04-20T11:54:43+00:00,14,49.00000,30.50000,300,,,,
2024-04-20T11:55:04+00:00,15,49.00000,30.40000,291,,,,
2024-04-20T11:55:27+00:00,16,49.00000,30.40000,314,,,,
2024-04-20T11:55:53+00:00,17,50.00000,30.30000,305,,,,
2024-04-20T11:56:19+00:00,18,50.00000,30.40000,277,,,,
2024-04-20T11:56:41+00:00,19,50.00000,30.40000,277,,,,
2024-04-20T11:57:02+00:00,20,49.00000,30.40000,305,,,,
2024-04-20T11:57:23+00:00,21,50.00000,30.40000,309,,,,
2024-04-20T11:58:12+00:00,22,50.00000,30.20000,244,,,,
2024-04-20T11:58:34+00:00,23,50.00000,30.20000,289,,,,
2024-04-20T11:58:55+00:00,24,50.00000,30.30000,309,,,,
2024-04-20T11:59:16+00:00,25,50.00000,30.20000,293,,,,
2024-04-20T11:59:37+00:00,26,50.00000,30.20000,303,,,,
2024-04-20T11:59:57+00:00,27,50.00000,30.30000,257,,,,
2024-04-20T12:00:20+00:00,28,50.00000,30.20000,255,,,,
2024-04-20T12:00:41+00:00,29,50.00000,30.00000,256,,,,
2024-04-20T12:01:02+00:00,30,50.00000,30.20000,300,,,,
2024-04-20T12:01:23+00:00,31,50.00000,30.00000,295,,,,
2024-04-20T12:01:44+00:00,32,50.00000,30.10000,308,,,,
2024-04-20T12:02:05+00:00,33,50.00000,30.20000,283,,,,
2024-04-20T12:02:26+00:00,34,50.00000,30.10000,301,,,,
2024-04-20T12:02:47+00:00,35,50.00000,30.10000,290,,,,
2024-04-20T12:03:08+00:00,36,50.00000,30.00000,285,,,,
2024-04-20T12:03:29+00:00,37,50.00000,29.90000,280,,,,
2024-04-20T12:03:49+00:00,38,50.00000,30.00000,277,,,,
2024-04-20T12:04:10+00:00,39,50.00000,30.10000,290,,,,
2024-04-20T12:04:29+00:00,40,50.00000,30.00000,296,,,,
2024-04-20T12:04:47+00:00,41,50.00000,30.10000,289,,,,
2024-04-20T12:05:06+00:00,42,50.00000,30.20000,286,,,,
2024-04-20T12:05:24+00:00,43,50.00000,30.10000,279,,,,
2024-04-20T12:05:45+00:00,44,50.00000,30.10000,302,,,,
2024-04-20T12:06:06+00:00,45,49.00000,30.10000,286,,,,
2024-04-20T12:06:28+00:00,46,50.00000,30.10000,272,,,,
2024-04-20T12:06:49+00:00,47,50.00000,30.00000,295,,,,
2024-04-20T12:07:10+00:00,48,50.00000,30.00000,297,,,,
2024-04-20T12:07:31+00:00,49,50.00000,30.10000,290,,,,
